四川电信IPTV
CCTV-1高清		239.93.0.184:5140
CCTV-2高清		239.93.1.23:6000
CCTV-3高清		239.93.1.11:2223
CCTV-5高清		239.93.1.12:2224
CCTV-6高清		239.93.1.13:2226
CCTV-7高清		239.93.1.67:5140
CCTV-8高清		239.93.1.14:2225
CCTV-9高清		239.93.1.24:5140
CCTV-10高清		239.93.1.28:5140
CCTV-12高清		239.93.1.30:8124
CCTV-少儿高清		239.93.1.29:6000
CCTV-5＋高清		239.93.1.36:8004
湖南卫视高清		239.93.0.88:5140
江苏卫视高清		239.93.0.89:5140
浙江卫视高清		239.93.0.124:5140
东方卫视高清		239.93.0.123:5140
北京卫视高清		239.93.0.180:5140
深圳卫视高清		239.93.0.182:5140
黑龙江卫视高清		239.93.0.183:5140
山东卫视高清		239.93.0.168:5140
CCTV-1杜比高清		239.93.0.69:5140
四川卫视高清		239.93.0.169:5140
影视文艺高清		239.93.0.166:5140
天津卫视高清		239.93.0.167:5140
湖北卫视高清		239.93.0.250:5140
广东卫视高清		239.93.0.181:5140
城市大明星高清		239.93.0.94:5140
CDTV1高清		239.93.1.210:2178
峨眉电影HD		239.93.1.54:5140
少儿才艺大赛		239.93.1.189:5140
四川广场舞大赛		239.93.1.190:5140
熊猫新闻高清		239.93.1.112:5140
SCTV2-HD		239.93.1.101:5140
SCTV3-HD		239.93.1.102:5140
重庆卫视高清		239.93.1.107:5140
熊猫直播间		239.93.0.126:5140
CCTV-1			239.93.0.1:8000
CCTV-2			239.93.0.59:5140
CCTV-3			239.93.0.109:5140
CCTV-4			239.93.0.60:5140
CCTV-5			239.93.0.110:5140
CCTV-6			239.93.0.111:5140
CCTV-7			239.93.0.61:5140
CCTV-8			239.93.0.112:5140
CCTV-9			239.93.1.2:5140
CCTV-10			239.93.0.63:5140
CCTV-11			239.93.0.3:5140
CCTV-12			239.93.0.65:5140
CCTV-新闻		239.93.0.66:5140
CCTV-少儿		239.93.0.67:5140
CCTV-音乐		239.93.0.68:5140
CGTN			239.93.0.62:5140
CDTV-1			239.93.0.16:1240
CDTV-2			239.93.0.17:1239
CDTV-3			239.93.0.18:1238
CDTV-4			239.93.0.19:1250
CDTV-5			239.93.0.20:1235
CDTV-6			239.93.0.21:1251
CDTV-7美食天府		239.93.0.23:1253
CDTV-8			239.93.0.22:1252
花儿高清电影		239.93.0.224:1281
资讯新干线		239.93.0.236:1283
蓉城先锋		239.93.0.91:2101
四川卫视		239.93.0.238:5140
SCTV-2			239.93.0.239:5140
SCTV-3			239.93.0.240:5140
SCTV-4			239.93.0.241:5140
SCTV-5			239.93.0.242:5140
SCTV-6			239.93.0.243:5140
SCTV-7			239.93.0.244:5140
SCTV-科教		239.93.0.221:5140
SCTV-9			239.93.0.245:5140
康巴卫视		239.93.0.125:5140
峨眉电影		239.93.0.252:5140
湖南卫视		239.93.0.77:5140
江苏卫视		239.93.0.72:5140
浙江卫视		239.93.0.73:5140
北京卫视		239.93.0.71:5140
深圳卫视		239.93.0.248:5140
东方卫视		239.93.0.70:5140
安徽卫视		239.93.0.75:5140
天津卫视		239.93.0.85:5140
辽宁卫视		239.93.0.74:5140
山东卫视		239.93.0.76:5140
云南卫视		239.93.0.174:5140
河南卫视		239.93.0.84:5140
黑龙江卫视		239.93.0.87:5140
江西卫视		239.93.0.83:5140
贵州卫视		239.93.0.127:5140
湖北卫视		239.93.0.82:5140
重庆卫视		239.93.0.90:5140
东南卫视		239.93.0.81:5140
河北卫视		239.93.0.5:5140
广东卫视		239.93.0.78:5140
广西卫视		239.93.0.24:5140
吉林卫视		239.93.0.86:5140
陕西卫视		239.93.0.176:5140
山西卫视		239.93.0.6:5140
内蒙古卫视		239.93.0.8:5140
青海卫视		239.93.0.192:5140
宁夏卫视		239.93.0.247:5140
西藏卫视		239.93.0.175:5140
新疆卫视		239.93.0.194:5140
甘肃卫视		239.93.0.191:5140
旅游卫视		239.93.0.80:5140
卡酷动画		239.93.0.208:5140
金鹰卡通		239.93.0.108:5140
热播剧场		239.93.0.56:9020
经典电影		239.93.0.57:9024
魅力时尚		239.93.0.190:9012
少儿动画		239.93.0.193:9000
足球			239.93.0.197:9040
军事			239.93.0.204:9076
高网			239.93.0.202:9068
音乐现场		239.93.0.198:9044
解密			239.93.0.199:9048
台球			239.93.0.203:9072
地理			239.93.0.200:9052
爱生活			239.93.0.206:8028
熊猫频道		239.93.0.211:9148
戏曲			239.93.0.217:9208
墨宝			239.93.0.215:9132
财富天下		239.93.0.116:9136
收视指南		239.93.0.195:8012
传奇			239.93.0.235:1282
食尚			239.93.0.237:1284
汽车频道		239.93.0.117:1292
新华现场		239.93.0.93:2102
美食旅游		239.93.0.165:2104
中国微电影		239.93.1.234:5140
西部旅游		239.93.1.235:5140
IPTV5＋			239.93.0.135:9008
大众生活		239.93.1.157:4120
大爱四川		239.93.1.109:5140
直播室1			239.93.1.180:5140
直播室2			239.93.1.181:5140
直播室3			239.93.1.182:5140
直播室4			239.93.1.183:5140
直播室5			239.93.1.184:5140
直播室6			239.93.1.185:5140
直播室7			239.93.1.186:5140
直播室8			239.93.1.187:5140
直播室9			239.93.0.97:5140
直播室10		239.93.0.98:5140
直播室11		239.93.0.99:5140
直播室12		239.93.0.100:5140
直播室13		239.93.0.101:5140
直播室14		239.93.0.102:5140
直播室15		239.93.0.103:5140
直播室16		239.93.0.104:5140
热门央视		239.93.1.33:5140
热门卫视		239.93.1.34:5140
热门本地		239.93.1.35:5140
热门央视-体验		239.93.1.47:5140
热门卫视-体验		239.93.1.49:5140
热门本地-体验		239.93.1.53:5140
CCTV-1-单音轨		239.93.1.68:5140
CCTV-2-单音轨		239.93.1.69:5140
CCTV-3-单音轨		239.93.1.70:5140
CCTV-5-单音轨		239.93.1.71:5140
CCTV-6-单音轨		239.93.1.72:5140
CCTV-7-单音轨		239.93.1.73:5140
CCTV-8-单音轨		239.93.1.74:5140
CCTV-9-单音轨		239.93.1.75:5140
CCTV-10-单音轨		239.93.1.76:5140
CCTV-12-单音轨		239.93.1.77:5140
CCTV-少儿-单音轨	239.93.1.78:5140
CCTV-5＋-单音轨		239.93.1.79:5140
湖南卫视-单音轨		239.93.1.8:5140
江苏卫视-单音轨		239.93.1.80:5140
浙江卫视-单音轨		239.93.1.81:5140
东方卫视-单音轨		239.93.1.82:5140
北京卫视-单音轨		239.93.1.83:5140
深圳卫视-单音轨		239.93.1.84:5140
黑龙江卫视-单音轨	239.93.1.85:5140
山东卫视-单音轨		239.93.1.86:5140
CCTV-1杜比-单音轨	239.93.1.87:5140
四川卫视-单音轨		239.93.1.88:5140
影视文艺-单音轨		239.93.1.89:5140
天津卫视-单音轨		239.93.1.90:5140
湖北卫视-单音轨		239.93.1.91:5140
广东卫视-单音轨		239.93.1.92:5140
城市大明星-单音轨	239.93.1.93:5140
CDTV-1-单音轨		239.93.1.94:5140
峨眉电影-单音轨		239.93.1.95:5140
少儿才艺大赛-单音轨	239.93.1.96:5140
四川广场舞大赛-单音轨	239.93.1.97:5140
熊猫新闻-单音轨		239.93.1.98:5140
SCTV2-单音轨		239.93.1.99:5140
SCTV3-单音轨		239.93.1.15:5140
